,Unnamed: 0,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,id
26149,26149.0,Male,Loyal Customer,28.0,Personal Travel,Eco,2276.0,2.0,5.0,2.0,3.0,1.0,2.0,2.0,1.0,4.0,5.0,4.0,4.0,4.0,1.0,0.0,0.0,neutral or dissatisfied,119586
100260,100260.0,Female,Loyal Customer,43.0,Business travel,Business,452.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,5.0,63.0,43.0,satisfied,45720
101387,101387.0,Male,Loyal Customer,51.0,Personal Travel,Eco,2139.0,4.0,5.0,3.0,4.0,2.0,3.0,2.0,2.0,5.0,5.0,4.0,5.0,5.0,2.0,0.0,0.0,satisfied,92506
86756,86756.0,Male,Loyal Customer,58.0,Business travel,Eco,1171.0,1.0,5.0,4.0,5.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,1.0,3.0,1.0,0.0,0.0,neutral or dissatisfied,67696
44480,44480.0,Male,Loyal Customer,63.0,Personal Travel,Eco Plus,209.0,5.0,3.0,5.0,3.0,4.0,5.0,2.0,4.0,4.0,5.0,4.0,1.0,4.0,4.0,0.0,0.0,satisfied,51411
26179,26179.0,Female,disloyal Customer,25.0,Business travel,Eco,846.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,2.0,2.0,3.0,5.0,5.0,4.0,0.0,neutral or dissatisfied,31497
103603,103603.0,Female,Loyal Customer,27.0,Business travel,Business,3666.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,18.0,0.0,satisfied,59890
85730,85730.0,Male,Loyal Customer,26.0,Personal Travel,Eco,4963.0,4.0,4.0,3.0,1.0,3.0,1.0,1.0,4.0,1.0,4.0,5.0,1.0,3.0,1.0,0.0,0.0,satisfied,59268
12087,12087.0,Male,Loyal Customer,44.0,,Business,312.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,satisfied,10720
54071,54071.0,Male,Loyal Customer,49.0,Business travel,Business,3000.0,0.0,0.0,0.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,0.0,0.0,satisfied,43490
81357,81357.0,Female,Loyal Customer,46.0,Business travel,Business,1766.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,0.0,0.0,satisfied,63489
46291,46291.0,Male,Loyal Customer,65.0,Business travel,Eco,467.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,4.0,2.0,1.0,0.0,neutral or dissatisfied,28342
5731,5731.0,Male,Loyal Customer,38.0,Business travel,Business,2153.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,173.0,173.0,satisfied,127664
41429,41429.0,Female,Loyal Customer,49.0,Business travel,Business,251.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,141.0,143.0,neutral or dissatisfied,23648
68377,68377.0,Female,Loyal Customer,22.0,Business travel,Business,1464.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,0.0,8.0,satisfied,67541
43460,43460.0,Male,Loyal Customer,43.0,Business travel,Business,341.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,0.0,1.0,satisfied,80913
66531,,Female,Loyal Customer,42.0,Business travel,Business,508.0,2.0,2.0,2.0,2.0,5.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,3.0,0.0,neutral or dissatisfied,39595
82097,82097.0,Female,Loyal Customer,57.0,Business travel,Business,1649.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,31.0,25.0,satisfied,96923
87117,87117.0,Female,Loyal Customer,8.0,Personal Travel,Eco,2174.0,4.0,5.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,5.0,5.0,5.0,2.0,0.0,0.0,neutral or dissatisfied,69956
34489,34489.0,Male,Loyal Customer,68.0,Personal Travel,Eco,954.0,3.0,5.0,3.0,1.0,3.0,3.0,3.0,3.0,5.0,2.0,4.0,3.0,4.0,3.0,0.0,3.0,neutral or dissatisfied,27517
15793,15793.0,Male,Loyal Customer,34.0,Business travel,Business,1820.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,0.0,0.0,satisfied,20674
42002,42002.0,Female,Loyal Customer,21.0,Personal Travel,Business,770.0,1.0,4.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,0.0,0.0,neutral or dissatisfied,46291
2298,2298.0,Male,Loyal Customer,18.0,Personal Travel,Eco,1855.0,4.0,5.0,5.0,5.0,4.0,5.0,1.0,4.0,3.0,3.0,2.0,5.0,5.0,4.0,0.0,0.0,neutral or dissatisfied,114009
82824,82824.0,Male,disloyal Customer,24.0,Business travel,Eco,391.0,4.0,0.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,0.0,2.0,satisfied,48092
95928,95928.0,Female,disloyal Customer,21.0,Business travel,Eco,1377.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,2.0,5.0,0.0,neutral or dissatisfied,89368
4419,4419.0,Female,Loyal Customer,27.0,Personal Travel,Eco,1046.0,1.0,1.0,1.0,3.0,5.0,1.0,5.0,5.0,3.0,4.0,2.0,3.0,2.0,5.0,30.0,21.0,neutral or dissatisfied,34187
97863,97863.0,Female,Loyal Customer,37.0,Personal Travel,Eco,2717.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,5.0,2.0,0.0,,neutral or dissatisfied,28725
32360,32360.0,Female,Loyal Customer,58.0,Personal Travel,Eco Plus,4243.0,3.0,2.0,3.0,4.0,3.0,1.0,5.0,3.0,1.0,3.0,3.0,5.0,2.0,5.0,60.0,54.0,neutral or dissatisfied,58709
54566,54566.0,Female,Loyal Customer,39.0,Business travel,Business,409.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,7.0,satisfied,105329
94512,94512.0,Female,Loyal Customer,15.0,Personal Travel,Eco,158.0,4.0,5.0,4.0,2.0,5.0,4.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,7.0,4.0,neutral or dissatisfied,1245
28131,28131.0,Male,Loyal Customer,42.0,Business travel,Eco,1243.0,2.0,5.0,5.0,5.0,1.0,2.0,1.0,1.0,4.0,5.0,3.0,1.0,4.0,1.0,57.0,33.0,neutral or dissatisfied,108911
29311,29311.0,Female,Loyal Customer,51.0,Business travel,Business,270.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,0.0,0.0,neutral or dissatisfied,90371
21101,21101.0,Female,Loyal Customer,59.0,Business travel,Business,692.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,22.0,29.0,satisfied,80799
14118,14118.0,Male,Loyal Customer,51.0,Business travel,Eco Plus,883.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,25.0,16.0,neutral or dissatisfied,110501
79740,79740.0,Female,disloyal Customer,55.0,Business travel,Eco,1576.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,3.0,1.0,4.0,3.0,1.0,3.0,1.0,186.0,187.0,neutral or dissatisfied,34003
32179,32179.0,Male,disloyal Customer,41.0,Business travel,Business,361.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,1.0,2.0,4.0,4.0,3.0,2.0,3.0,178.0,167.0,neutral or dissatisfied,125112
85778,85778.0,Male,Loyal Customer,50.0,Business travel,Business,2079.0,1.0,4.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,19.0,19.0,neutral or dissatisfied,35044
63007,63007.0,Male,Loyal Customer,33.0,Business travel,Eco Plus,308.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,4.0,3.0,4.0,2.0,0.0,0.0,neutral or dissatisfied,116656
15058,15058.0,Male,Loyal Customer,34.0,Business travel,Business,1672.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,satisfied,128215
80516,80516.0,Female,disloyal Customer,26.0,Business travel,Eco,944.0,2.0,1.0,1.0,3.0,5.0,1.0,5.0,5.0,3.0,1.0,4.0,1.0,3.0,5.0,81.0,64.0,neutral or dissatisfied,37463
47134,47134.0,Female,Loyal Customer,41.0,Personal Travel,Eco,460.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,0.0,0.0,satisfied,66244
102215,102215.0,Male,disloyal Customer,26.0,Business travel,Eco,628.0,5.0,0.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,1.0,5.0,4.0,5.0,5.0,21.0,23.0,satisfied,16307
35390,35390.0,Female,Loyal Customer,60.0,Business travel,Business,2096.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,0.0,0.0,satisfied,92676
77034,77034.0,Female,Loyal Customer,70.0,Personal Travel,Eco,271.0,1.0,0.0,1.0,4.0,4.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,0.0,0.0,neutral or dissatisfied,91138
36623,36623.0,Male,Loyal Customer,52.0,Business travel,Eco,1892.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,4.0,1.0,14.0,0.0,neutral or dissatisfied,92479
47978,47978.0,Female,Loyal Customer,31.0,Personal Travel,Eco Plus,296.0,2.0,5.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,0.0,0.0,neutral or dissatisfied,19963
103586,103586.0,Female,Loyal Customer,9.0,Personal Travel,Eco,547.0,1.0,2.0,1.0,3.0,5.0,1.0,5.0,5.0,2.0,2.0,2.0,4.0,4.0,5.0,0.0,0.0,neutral or dissatisfied,76685
24596,24596.0,Female,Loyal Customer,44.0,Personal Travel,Eco,2603.0,4.0,2.0,4.0,4.0,4.0,1.0,1.0,2.0,5.0,2.0,3.0,1.0,4.0,1.0,0.0,34.0,neutral or dissatisfied,31811
2785,2785.0,Female,disloyal Customer,21.0,Business travel,Business,411.0,4.0,0.0,4.0,2.0,1.0,4.0,1.0,1.0,3.0,4.0,1.0,1.0,4.0,1.0,0.0,2.0,satisfied,43974
8017,8017.0,Male,Loyal Customer,28.0,Business travel,Business,874.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,3.0,3.0,4.0,2.0,47.0,26.0,neutral or dissatisfied,85137
81145,81145.0,Female,Loyal Customer,39.0,Business travel,Business,2446.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,0.0,0.0,satisfied,74907
89857,89857.0,Female,Loyal Customer,45.0,Business travel,Business,3440.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,0.0,0.0,satisfied,94528
3026,3026.0,Male,disloyal Customer,23.0,Business travel,Business,867.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,4.0,5.0,22.0,8.0,satisfied,93270
75161,75161.0,Female,Loyal Customer,55.0,Business travel,Business,1966.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,4.0,0.0,satisfied,110497
70894,70894.0,Female,Loyal Customer,62.0,Personal Travel,Eco,453.0,4.0,5.0,4.0,3.0,4.0,2.0,2.0,5.0,3.0,5.0,5.0,2.0,3.0,2.0,140.0,132.0,neutral or dissatisfied,99121
33766,33766.0,Female,Loyal Customer,40.0,Business travel,Business,3850.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,0.0,0.0,satisfied,21855
79093,79093.0,Male,Loyal Customer,70.0,Personal Travel,Eco,872.0,5.0,5.0,5.0,1.0,3.0,5.0,3.0,3.0,1.0,2.0,4.0,3.0,4.0,3.0,0.0,3.0,satisfied,100808
26474,26474.0,Female,Loyal Customer,69.0,Personal Travel,Eco,1012.0,1.0,3.0,1.0,4.0,2.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,36.0,22.0,neutral or dissatisfied,58825
61350,61350.0,Male,Loyal Customer,42.0,Personal Travel,Eco,667.0,3.0,4.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,3.0,0.0,0.0,neutral or dissatisfied,11997
5006,5006.0,Male,Loyal Customer,45.0,Business travel,Business,175.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,0.0,satisfied,68633
75372,75372.0,Female,Loyal Customer,21.0,Business travel,Business,1804.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,4.0,2.0,4.0,3.0,52.0,50.0,neutral or dissatisfied,115436
89749,89749.0,Male,disloyal Customer,22.0,Business travel,Business,580.0,0.0,0.0,0.0,2.0,5.0,0.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,0.0,4.0,satisfied,95832
57137,57137.0,Male,Loyal Customer,54.0,Personal Travel,Eco Plus,453.0,2.0,5.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,5.0,5.0,3.0,5.0,3.0,0.0,0.0,neutral or dissatisfied,92663
83380,83380.0,Female,Loyal Customer,22.0,Business travel,Business,602.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,4.0,3.0,1.0,1.0,1.0,139.0,130.0,neutral or dissatisfied,31762
56072,56072.0,Female,Loyal Customer,53.0,Business travel,Business,2133.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,0.0,satisfied,63583
64250,64250.0,Female,Loyal Customer,42.0,Business travel,Business,1708.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,2.0,2.0,3.0,2.0,5.0,2.0,5.0,0.0,0.0,satisfied,78903
16729,16729.0,Female,disloyal Customer,24.0,Business travel,Business,331.0,5.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,9.0,12.0,satisfied,119239
53034,53034.0,Male,Loyal Customer,25.0,Personal Travel,Eco,1496.0,1.0,3.0,1.0,2.0,5.0,1.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,5.0,0.0,0.0,neutral or dissatisfied,119743
44342,44342.0,Female,Loyal Customer,46.0,Business travel,Business,2473.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,26.0,satisfied,9112
55349,55349.0,Female,Loyal Customer,44.0,Business travel,Business,315.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,238.0,287.0,satisfied,6331
92586,92586.0,Male,Loyal Customer,55.0,Business travel,Business,787.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,24.0,21.0,satisfied,105639
56826,56826.0,Female,Loyal Customer,28.0,Business travel,Eco,775.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,1.0,2.0,4.0,0.0,7.0,satisfied,30383
23331,23331.0,Female,Loyal Customer,40.0,Personal Travel,Eco,386.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,1.0,5.0,4.0,3.0,3.0,38.0,43.0,neutral or dissatisfied,102458
68993,68993.0,Male,Loyal Customer,43.0,Personal Travel,Eco Plus,153.0,2.0,5.0,2.0,3.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,19.0,14.0,neutral or dissatisfied,43941
26523,26523.0,Male,disloyal Customer,59.0,Business travel,Business,273.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,4.0,5.0,5.0,4.0,1.0,0.0,6.0,neutral or dissatisfied,5797
75426,75426.0,Male,disloyal Customer,39.0,,Eco,813.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,neutral or dissatisfied,85190
58057,58057.0,Male,Loyal Customer,12.0,Personal Travel,Eco,337.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,5.0,5.0,5.0,2.0,0.0,1.0,neutral or dissatisfied,63424
51380,51380.0,Female,Loyal Customer,54.0,Business travel,Eco,853.0,2.0,3.0,5.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,0.0,0.0,neutral or dissatisfied,86442
47634,47634.0,Female,Loyal Customer,49.0,Business travel,Business,944.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,29.0,20.0,satisfied,80073
19622,19622.0,Male,Loyal Customer,10.0,Personal Travel,Eco,488.0,2.0,0.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,5.0,5.0,4.0,4.0,11.0,11.0,neutral or dissatisfied,15068
47805,47805.0,Male,disloyal Customer,38.0,Business travel,Business,794.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,5.0,3.0,5.0,2.0,20.0,14.0,satisfied,111529
36762,36762.0,Male,Loyal Customer,36.0,Personal Travel,Eco,2475.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,3.0,3.0,4.0,3.0,122.0,184.0,neutral or dissatisfied,80183
12462,12462.0,Female,Loyal Customer,38.0,Business travel,Business,2248.0,5.0,5.0,5.0,5.0,2.0,3.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,0.0,0.0,satisfied,39272
38627,38627.0,Female,Loyal Customer,37.0,Business travel,Business,134.0,4.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,0.0,0.0,neutral or dissatisfied,92925
59567,59567.0,Male,Loyal Customer,51.0,Personal Travel,Eco Plus,2556.0,2.0,4.0,2.0,2.0,2.0,5.0,5.0,5.0,2.0,3.0,5.0,5.0,5.0,5.0,3.0,22.0,neutral or dissatisfied,33462
42053,42053.0,Male,Loyal Customer,55.0,Business travel,Business,3959.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,7.0,0.0,satisfied,121304
48221,48221.0,Female,disloyal Customer,21.0,Business travel,Eco,214.0,4.0,0.0,4.0,1.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,0.0,0.0,neutral or dissatisfied,123639
57655,57655.0,Female,Loyal Customer,54.0,Personal Travel,Eco,1235.0,3.0,4.0,3.0,5.0,2.0,3.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,3.0,52.0,42.0,neutral or dissatisfied,74755
35298,35298.0,Male,Loyal Customer,47.0,Business travel,Business,972.0,2.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,1.0,0.0,satisfied,106955
39555,39555.0,Male,Loyal Customer,35.0,Personal Travel,Business,447.0,1.0,4.0,1.0,3.0,5.0,4.0,5.0,5.0,5.0,1.0,5.0,3.0,5.0,5.0,0.0,0.0,neutral or dissatisfied,129595
47351,47351.0,Male,Loyal Customer,17.0,Personal Travel,Eco,224.0,3.0,5.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,58.0,49.0,neutral or dissatisfied,11216
95735,95735.0,Female,Loyal Customer,17.0,Business travel,Business,1626.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,2.0,3.0,1.0,0.0,0.0,neutral or dissatisfied,115348
75308,75308.0,Female,Loyal Customer,32.0,Personal Travel,Eco Plus,259.0,2.0,5.0,2.0,5.0,3.0,2.0,1.0,3.0,5.0,5.0,1.0,5.0,1.0,3.0,0.0,0.0,neutral or dissatisfied,85655
35361,35361.0,Female,Loyal Customer,14.0,Personal Travel,Eco,794.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,0.0,0.0,neutral or dissatisfied,21632
15656,15656.0,Female,Loyal Customer,75.0,Business travel,Business,3876.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,2.0,4.0,neutral or dissatisfied,118608
59246,59246.0,Female,Loyal Customer,52.0,Business travel,Business,293.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,0.0,0.0,satisfied,94527
22821,22821.0,Female,Loyal Customer,26.0,Business travel,Business,2596.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,5.0,2.0,1.0,2.0,2.0,10.0,0.0,neutral or dissatisfied,58085
38754,38754.0,Female,Loyal Customer,31.0,Business travel,Business,2943.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,1.0,3.0,4.0,0.0,4.0,neutral or dissatisfied,30234
51636,51636.0,Female,Loyal Customer,53.0,Business travel,Business,2131.0,2.0,4.0,2.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,48.0,49.0,satisfied,77646
51599,51599.0,Male,Loyal Customer,51.0,Business travel,Business,1182.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,24.0,27.0,satisfied,73287
4976,4976.0,Male,Loyal Customer,48.0,Business travel,Eco Plus,842.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,3.0,0.0,0.0,satisfied,25249
62027,62027.0,Female,disloyal Customer,39.0,Business travel,Eco,358.0,1.0,1.0,1.0,3.0,4.0,1.0,4.0,4.0,2.0,1.0,3.0,3.0,4.0,4.0,27.0,30.0,neutral or dissatisfied,115869
10882,10882.0,Male,disloyal Customer,32.0,Business travel,Business,332.0,4.0,5.0,5.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,0.0,0.0,neutral or dissatisfied,77982
1276,1276.0,Female,Loyal Customer,62.0,Personal Travel,Eco,577.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,9.0,13.0,neutral or dissatisfied,83709
37886,37886.0,Male,Loyal Customer,36.0,Business travel,Eco,236.0,,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,5.0,5.0,5.0,0.0,0.0,satisfied,128959
12952,12952.0,Female,disloyal Customer,29.0,Business travel,Eco,1306.0,2.0,2.0,2.0,3.0,5.0,2.0,5.0,5.0,1.0,5.0,4.0,2.0,3.0,5.0,0.0,0.0,neutral or dissatisfied,81813
66551,66551.0,Male,disloyal Customer,23.0,Business travel,Business,223.0,1.0,3.0,1.0,4.0,5.0,1.0,5.0,5.0,4.0,4.0,4.0,1.0,4.0,5.0,22.0,19.0,neutral or dissatisfied,113459
