age,education,default,housing,loan,contact,duration,campaign,pdays,previous,y,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_divorced,marital_married,marital_single,marital_unknown,poutcome_failure,poutcome_nonexistent,poutcome_success
40.1498,3,1,0,0,1,185.0,1,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
32.0,6,1,1,0,1,668.0,1,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
38.0,4,0,0,0,1,203.0,1,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
58.0,5,1,1,0,1,1288.0,3,1,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
48.0,5,1,0,0,1,146.0,2,1,2,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
26.0,1,1,1,1,0,144.0,2,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
36.0,6,0,1,0,1,352.0,3,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
53.0,5,1,1,0,1,322.0,1,1,0,no,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
33.0,6,1,1,0,1,123.0,1,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
33.0,4,1,0,0,1,174.0,3,1,0,no,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
25.0,6,1,0,0,1,114.0,1,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
57.0,1,0,1,0,0,182.0,1,1,0,no,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
43.0,1,1,0,0,1,90.0,6,1,0,no,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
50.0,1,1,1,0,0,306.0,3,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
52.0,2,0,1,0,1,108.0,2,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
49.0,4,1,1,0,1,119.0,4,1,0,no,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
38.0,4,0,0,0,0,113.0,5,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
51.0,6,1,0,1,1,135.0,3,1,0,no,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
24.0,4,1,1,0,0,117.0,1,1,0,no,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
39.0,2,0,1,0,0,414.0,1,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
56.0,3,1,1,1,1,123.0,3,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
32.0,4,1,1,0,1,134.0,1,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
37.0,3,1,0,0,1,37.0,1,1,0,no,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
21.0,3,1,1,0,1,136.0,2,1,1,yes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
35.0,4,1,1,0,0,92.0,2,1,0,no,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
31.0,6,1,1,0,0,659.0,4,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
31.0,6,1,0,0,1,238.0,1,1,1,no,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
53.0,4,1,1,0,0,111.0,3,1,0,no,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
35.0,6,1,0,0,0,42.0,1,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
44.0,4,0,1,0,0,269.0,2,1,0,no,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
31.0,4,1,1,0,1,197.0,1,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
51.0,6,0,1,0,1,102.0,1,1,0,no,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
32.0,4,1,1,0,1,318.0,3,1,0,no,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
33.0,5,1,1,1,0,193.0,1,1,1,no,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
28.0,3,1,0,0,1,143.0,5,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
40.0,4,1,1,0,1,208.0,6,1,1,no,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
55.0,1,1,1,0,1,137.0,1,0,1,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
29.0,1,1,1,0,1,1223.0,3,1,1,no,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
31.0,4,1,1,0,1,85.0,4,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
27.0,4,0,1,0,0,38.0,9,1,0,no,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
44.0,5,1,0,0,1,65.0,1,1,1,no,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
34.0,4,0,1,1,1,17.0,4,1,1,no,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
38.0,1,0,0,0,1,197.0,4,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
32.0,6,1,0,0,0,21.0,3,1,0,no,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
32.0,5,1,1,0,1,255.0,1,1,0,yes,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
50.0,1,0,0,0,0,18.0,16,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
46.0,1,1,0,0,0,247.0,2,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
31.0,5,1,0,0,0,174.0,3,1,0,no,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
56.0,1,0,0,0,0,86.0,1,1,0,no,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
55.0,6,1,0,0,1,171.0,2,1,0,no,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
53.0,5,0,1,0,0,153.0,1,1,0,no,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
48.0,1,1,1,0,0,563.0,1,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
30.0,6,1,0,0,0,254.0,21,1,0,no,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
49.0,6,0,0,0,1,150.0,1,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
50.0,6,1,1,0,1,600.0,2,1,1,no,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
51.0,6,1,1,0,1,289.0,3,1,0,no,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
37.0,3,1,1,0,1,189.0,1,1,0,no,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
35.0,6,1,1,0,1,211.0,2,1,1,no,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
57.0,3,1,0,0,1,117.0,2,1,1,no,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
40.0,1,1,1,0,1,377.0,3,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
32.0,4,1,0,0,0,611.0,2,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
19.0,6,1,0,0,1,132.0,2,0,2,no,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
37.0,4,1,1,0,0,912.0,1,1,0,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
60.0,5,1,0,0,1,107.0,2,1,0,yes,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
31.0,4,1,1,0,0,410.0,1,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
33.0,5,1,0,1,1,383.0,3,1,1,no,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
41.0,6,0,1,0,1,235.0,2,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
28.0,3,1,0,0,0,466.0,2,1,0,no,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
56.0,6,1,1,0,1,178.0,8,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
32.0,6,1,1,0,1,129.0,2,1,0,no,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
41.0,6,1,1,0,1,789.0,1,1,0,no,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
33.0,3,1,1,0,0,50.0,3,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
52.0,6,1,0,0,0,208.0,4,1,0,no,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
27.0,6,1,0,0,0,86.0,9,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
45.0,1,0,1,0,1,195.0,1,1,0,no,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
34.0,6,1,0,0,1,182.0,1,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36.0,3,1,1,0,1,221.0,3,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
44.0,6,1,0,0,1,396.0,3,1,0,no,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
52.0,4,0,1,0,1,734.0,1,1,0,no,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
29.0,6,1,0,1,0,166.0,9,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
32.0,3,1,1,0,1,314.0,1,1,0,yes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
36.0,4,1,1,0,0,143.0,3,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
40.0,6,0,1,0,1,113.0,1,1,0,no,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
32.0,3,1,0,0,0,138.0,3,1,0,no,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
33.0,6,1,1,0,1,53.0,2,1,0,no,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
40.1498,4,0,1,0,0,109.0,1,1,0,no,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
29.0,6,1,0,1,0,1118.0,3,1,0,no,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
50.0,5,0,1,0,0,87.0,1,1,0,no,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
39.0,5,1,1,0,1,997.0,2,1,0,no,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
39.0,4,1,1,0,1,194.0,1,1,0,no,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
35.0,5,1,1,1,1,63.0,4,1,0,no,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
28.0,3,0,0,0,1,55.0,1,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
32.0,4,1,0,1,1,222.0,1,1,0,no,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
26.0,4,1,0,0,1,298.0,2,1,2,no,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
41.0,6,0,1,0,0,94.0,2,1,0,no,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
43.0,6,1,0,1,1,226.0,1,1,0,no,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
40.0,3,0,0,0,0,154.0,3,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
36.0,6,1,0,0,1,221.0,4,1,0,no,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
37.0,3,1,0,0,0,232.0,1,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
52.0,6,0,0,0,1,188.0,1,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
48.0,6,1,0,0,1,52.0,6,1,0,no,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
50.0,3,1,0,0,1,1449.0,1,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
42.0,3,1,1,0,0,100.0,1,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
31.0,3,1,0,0,1,277.0,1,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
40.1498,3,1,1,1,1,145.0,2,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
40.1498,3,0,0,0,0,121.0,1,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
46.0,4,1,0,0,0,485.0,3,1,0,no,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
29.0,4,1,1,0,0,93.0,1,1,0,yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
52.0,5,1,0,0,1,953.0,2,1,0,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
30.0,6,1,1,1,1,204.0,4,1,0,yes,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
51.0,6,1,1,0,0,528.0,2,1,0,yes,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
46.0,1,1,1,0,0,550.0,3,1,0,no,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
59.0,6,1,0,0,1,124.0,2,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
30.0,6,1,0,0,1,205.0,3,1,0,no,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
45.0,4,0,1,0,1,250.0,1,1,0,no,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
56.0,5,1,0,0,1,196.0,2,1,0,no,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
33.0,4,1,0,0,1,262.0,2,1,0,no,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
37.0,5,0,0,0,0,42.0,16,1,0,no,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
37.0,3,1,0,0,1,69.0,1,1,0,no,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
53.0,6,1,0,0,1,103.0,1,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
33.0,3,0,1,0,1,8.0,4,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
43.0,2,0,0,1,1,53.0,1,1,0,no,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
30.0,6,1,1,0,0,90.0,2,1,0,no,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
41.0,6,1,0,0,1,463.0,1,1,0,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
30.0,5,1,1,0,1,282.0,2,0,1,yes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
45.0,4,1,1,0,1,1293.0,4,1,0,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
36.0,3,0,0,0,0,599.0,4,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
36.0,3,0,1,0,1,387.0,1,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
56.0,1,0,1,1,1,119.0,1,1,1,no,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
33.0,6,1,0,0,1,384.0,1,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
40.1498,6,1,0,0,1,192.0,1,1,1,no,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
33.0,6,1,1,0,1,90.0,5,1,0,no,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
50.0,6,1,0,0,0,63.0,3,1,1,no,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
41.0,2,1,1,0,0,174.0,1,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
35.0,4,1,1,0,0,197.0,3,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
47.0,4,1,0,0,1,107.0,1,1,0,no,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
56.0,6,0,0,0,0,192.0,1,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
29.0,4,1,1,1,1,151.0,2,1,0,no,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
47.0,1,1,1,0,1,82.0,4,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
38.0,3,0,1,0,0,138.0,1,1,0,no,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
43.0,1,1,1,0,1,42.0,2,1,1,no,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
38.0,6,1,1,1,1,87.0,2,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
39.0,6,0,1,0,0,197.0,4,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
83.0,6,1,1,0,1,75.0,2,1,0,no,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
30.0,5,1,1,0,1,75.0,1,1,0,no,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
33.0,3,0,1,0,1,340.0,1,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
37.0,6,1,1,0,0,173.0,2,1,0,no,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
40.1498,5,1,0,0,0,290.0,2,1,0,no,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
36.0,6,1,0,0,1,616.0,2,1,0,no,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
24.0,4,1,0,0,0,122.0,1,1,0,no,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
30.0,4,1,0,0,0,301.0,1,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
25.0,5,1,1,0,1,551.0,4,1,1,yes,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
35.0,6,1,0,0,1,609.0,1,1,0,no,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
49.0,2,0,1,0,0,173.0,1,1,0,no,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
47.0,6,0,0,0,1,226.0,1,1,1,no,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
40.1498,3,0,0,0,1,155.0,1,1,1,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
28.0,6,1,1,0,1,643.0,1,1,0,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
27.0,3,1,1,1,1,80.0,3,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
47.0,3,1,0,0,1,134.0,2,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
27.0,5,1,0,0,1,415.0,1,1,1,no,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
27.0,4,1,0,0,1,167.0,1,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
42.0,3,0,0,0,0,698.0,1,1,0,no,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
57.0,1,0,1,0,0,300.0,3,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
52.0,3,0,0,0,1,248.0,1,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
53.0,3,0,1,1,0,16.0,20,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
43.0,4,1,1,0,0,150.0,8,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
29.0,6,0,1,0,1,11.0,4,0,1,no,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
32.0,6,1,1,0,1,83.0,2,1,0,no,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
44.0,3,1,1,0,1,494.0,1,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
32.0,5,1,0,0,1,691.0,2,0,4,no,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
41.0,1,0,0,0,0,88.0,5,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
44.0,2,1,0,0,0,257.0,1,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
25.0,1,1,0,0,1,420.0,2,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
29.0,4,1,1,0,1,182.0,3,1,0,no,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
41.0,2,1,0,0,0,142.0,1,1,0,no,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
54.0,2,0,0,0,0,36.0,5,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
45.0,6,1,1,0,1,226.0,1,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
48.0,4,1,0,1,1,429.0,6,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
31.0,6,1,0,0,1,166.0,1,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
49.0,4,1,0,0,1,387.0,1,1,0,yes,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
40.0,4,0,1,0,0,89.0,4,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
41.0,3,1,1,0,1,102.0,1,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
45.0,6,1,0,0,0,208.0,2,1,0,no,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
43.0,6,1,0,0,1,121.0,5,1,0,no,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
77.0,4,1,1,0,1,165.0,7,1,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
26.0,6,1,1,0,0,9.0,1,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
53.0,3,1,0,0,0,67.0,3,1,0,no,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
31.0,6,0,0,0,1,132.0,2,1,0,no,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
33.0,4,1,0,0,1,151.0,1,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
33.0,6,1,1,0,1,116.0,1,1,0,no,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
46.0,1,0,0,0,0,367.0,1,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
38.0,6,1,0,0,0,52.0,13,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
33.0,6,1,1,0,1,316.0,2,1,0,no,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
38.0,2,1,1,0,1,448.0,1,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
