Customer,State,Response,Coverage,Education,Effective To Date,Gender,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,EmploymentStatus,Income
UX87150,California,No,Extended,College,1/1/2011,M,Suburban,Married,96.0,11.0,41.0,0.0,5.0,Corporate Auto,Corporate L2,Offer4,Branch,460.8,Four-Door Car,Medsize,Employed,68229
OZ30867,Oregon,No,Basic,High School or Below,2/23/2011,F,Suburban,Married,106.0,31.0,15.0,0.0,5.0,Personal Auto,Personal L3,Offer4,Call Center,508.8,SUV,Medsize,Employed,33397
LC60153,California,No,Basic,Bachelor,1/13/2011,M,Urban,Single,106.0,29.0,99.0,0.0,2.0,Personal Auto,Personal L2,Offer3,Agent,295.821353,SUV,Large,Employed,72503
OX87524,California,No,Basic,Master,2/20/2011,F,Suburban,Divorced,64.0,31.0,77.0,0.0,1.0,Personal Auto,Personal L3,Offer4,Branch,435.7186,Four-Door Car,Medsize,Employed,90349
ZY78741,California,No,Extended,High School or Below,2/25/2011,M,Suburban,Single,87.0,24.0,23.0,0.0,7.0,Corporate Auto,Corporate L2,Offer2,Agent,626.4,Four-Door Car,Large,Unemployed,0
DB79306,California,No,Basic,College,1/4/2011,M,Urban,Married,117.0,26.0,49.0,3.0,1.0,Personal Auto,Personal L1,Offer4,Web,486.545439,SUV,Small,Employed,25480
EM77767,Oregon,No,Basic,College,2/19/2011,F,Urban,Married,68.0,8.0,70.0,0.0,2.0,Personal Auto,Personal L3,Offer2,Call Center,272.737308,Two-Door Car,Medsize,Employed,72462
PH78214,Oregon,No,Basic,College,2/11/2011,F,Suburban,Married,72.0,10.0,82.0,1.0,3.0,Personal Auto,Personal L3,Offer2,Agent,345.6,Four-Door Car,Medsize,Medical Leave,27677
LY17996,California,No,Extended,High School or Below,1/26/2011,M,Suburban,Married,79.0,13.0,63.0,0.0,8.0,Personal Auto,Personal L3,Offer4,Branch,596.2476,Two-Door Car,Large,Medical Leave,25743
XV76553,Oregon,No,Basic,High School or Below,2/13/2011,M,Rural,Married,112.0,15.0,62.0,0.0,1.0,Corporate Auto,Corporate L3,Offer2,Branch,192.859737,SUV,Medsize,Employed,74935
SD38003,California,No,Basic,Bachelor,1/19/2011,M,Suburban,Single,71.0,13.0,50.0,0.0,1.0,Personal Auto,Personal L2,Offer1,Call Center,511.2,Four-Door Car,Medsize,Unemployed,0
QC30094,Oregon,No,Extended,High School or Below,2/5/2011,F,Suburban,Married,92.0,9.0,12.0,1.0,4.0,Corporate Auto,Corporate L2,Offer1,Call Center,571.549745,Four-Door Car,Small,Medical Leave,15921
KH92987,Arizona,No,Extended,High School or Below,1/3/2011,F,Suburban,Married,136.0,0.0,94.0,0.0,2.0,Personal Auto,Personal L3,Offer1,Web,652.8,SUV,Medsize,Employed,30095
OB32671,Oregon,No,Basic,High School or Below,1/31/2011,F,Urban,Married,106.0,14.0,21.0,0.0,2.0,Personal Auto,Personal L3,Offer3,Agent,363.77598,SUV,Small,Employed,20587
CD26907,California,No,Basic,Bachelor,1/6/2011,M,Suburban,Single,117.0,9.0,12.0,0.0,2.0,Personal Auto,Personal L3,Offer2,Web,1227.822079,Sports Car,Medsize,Unemployed,0
YY46839,Washington,No,Premium,High School or Below,1/30/2011,F,Suburban,Married,106.0,29.0,45.0,0.0,9.0,Corporate Auto,Corporate L2,Offer1,Agent,763.2,Two-Door Car,Medsize,Employed,29628
HY36253,California,No,Extended,Bachelor,1/23/2011,M,Rural,Divorced,78.0,3.0,30.0,0.0,2.0,Personal Auto,Personal L3,Offer3,Agent,131.515739,Four-Door Car,Medsize,Disabled,28677
KA62728,California,No,Premium,High School or Below,1/6/2011,M,Rural,Single,113.0,20.0,17.0,1.0,5.0,Personal Auto,Personal L2,Offer3,Agent,64.894362,Four-Door Car,Medsize,Employed,87094
GH98275,California,No,Basic,College,2/15/2011,F,Urban,Divorced,64.0,25.0,89.0,0.0,4.0,Corporate Auto,Corporate L2,Offer2,Call Center,181.810486,Four-Door Car,Medsize,Unemployed,0
DJ87316,Oregon,No,Extended,High School or Below,1/24/2011,M,Suburban,Married,128.0,0.0,88.0,0.0,3.0,Personal Auto,Personal L1,Offer1,Branch,614.4,SUV,Medsize,Employed,43736
XC85830,Oregon,Yes,Premium,Bachelor,1/28/2011,F,Suburban,Single,103.0,14.0,79.0,0.0,1.0,Corporate Auto,Corporate L3,Offer1,Branch,494.4,Two-Door Car,Medsize,Employed,69379
VK85405,California,No,Basic,High School or Below,1/29/2011,F,Urban,Single,62.0,24.0,15.0,0.0,2.0,Corporate Auto,Corporate L2,Offer1,Agent,281.372658,Two-Door Car,Medsize,Employed,80415
ZP27971,California,No,Extended,High School or Below,1/1/2011,M,,Married,97.0,4.0,51.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Branch,465.6,Four-Door Car,Small,Employed,26050
QC95625,California,Yes,Premium,High School or Below,2/27/2011,M,Suburban,Single,103.0,6.0,28.0,0.0,2.0,Personal Auto,Personal L2,Offer1,Agent,494.4,Four-Door Car,Medsize,Employed,57449
DN34058,Washington,No,Extended,Bachelor,1/21/2011,F,Suburban,Married,99.0,9.0,21.0,0.0,2.0,Corporate Auto,Corporate L1,Offer2,Branch,475.2,Four-Door Car,Small,Employed,68211
VS80344,Arizona,No,Premium,Bachelor,2/16/2011,F,Urban,Married,103.0,18.0,72.0,0.0,6.0,Special Auto,Special L3,Offer1,Agent,427.762841,Two-Door Car,Medsize,Employed,28445
SJ24275,Nevada,No,Basic,College,1/6/2011,F,Urban,Single,62.0,34.0,39.0,0.0,6.0,Personal Auto,Personal L2,Offer3,Branch,246.57631,Four-Door Car,Medsize,Employed,37313
YB58105,California,No,Premium,High School or Below,2/14/2011,M,Suburban,Single,110.0,27.0,48.0,1.0,2.0,Corporate Auto,Corporate L1,Offer1,Agent,1066.913401,Four-Door Car,Large,Unemployed,0
BP35803,California,No,Extended,College,1/17/2011,F,Urban,Single,89.0,28.0,31.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Agent,424.466821,Four-Door Car,Medsize,Employed,29194
CL73599,Arizona,Yes,Basic,Bachelor,1/14/2011,F,Urban,Married,107.0,2.0,74.0,0.0,3.0,Personal Auto,Personal L3,Offer2,Branch,289.040734,SUV,Medsize,Employed,79090
ZR22245,Washington,Yes,Basic,College,1/28/2011,F,Suburban,Single,63.0,29.0,51.0,0.0,9.0,Personal Auto,Personal L3,Offer2,Web,302.4,Four-Door Car,Large,Medical Leave,22571
JJ57298,Oregon,No,Extended,College,2/17/2011,M,Suburban,Single,139.0,16.0,33.0,0.0,2.0,Corporate Auto,Corporate L3,Offer1,Call Center,1066.63167,SUV,Medsize,Unemployed,0
FF53048,Arizona,No,Extended,Master,2/15/2011,F,Suburban,Single,86.0,3.0,59.0,0.0,1.0,Personal Auto,Personal L3,Offer1,Agent,412.8,Two-Door Car,Small,Employed,48744
HD83496,Arizona,No,Basic,Bachelor,1/8/2011,M,Suburban,Single,71.0,24.0,32.0,0.0,1.0,Corporate Auto,Corporate L3,Offer2,Web,511.2,Four-Door Car,Large,Unemployed,0
DD94148,California,No,Basic,College,2/16/2011,M,Urban,Married,74.0,31.0,79.0,0.0,4.0,Personal Auto,,Offer2,Web,222.478994,Two-Door Car,Medsize,Employed,29530
FM52759,Nevada,Yes,Basic,Bachelor,1/13/2011,M,Suburban,Divorced,69.0,1.0,78.0,0.0,9.0,Personal Auto,Personal L3,Offer1,Agent,331.2,Four-Door Car,Medsize,Employed,67798
OI39918,California,No,Extended,Bachelor,1/31/2011,M,Suburban,Married,93.0,22.0,20.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Call Center,446.4,Two-Door Car,Large,Medical Leave,16208
PC72443,Oregon,No,Premium,College,2/20/2011,F,Rural,Married,112.0,0.0,25.0,0.0,1.0,Personal Auto,Personal L3,Offer3,Agent,5.453269,Four-Door Car,Medsize,Employed,94757
OQ15169,Washington,Yes,Extended,High School or Below,1/27/2011,F,Suburban,Married,139.0,16.0,50.0,0.0,1.0,Corporate Auto,Corporate L3,Offer1,Branch,667.2,SUV,Medsize,Employed,37995
ZO89996,Oregon,Yes,Basic,College,2/25/2011,M,Suburban,Divorced,66.0,6.0,27.0,0.0,1.0,Personal Auto,Personal L1,Offer1,Agent,316.8,Two-Door Car,Medsize,Employed,72302
OP70207,Oregon,No,Extended,College,2/14/2011,M,Urban,Divorced,137.0,2.0,58.0,1.0,8.0,Personal Auto,Personal L3,Offer1,Call Center,385.440163,Sports Car,Medsize,Employed,37934
ID39569,Washington,No,Extended,High School or Below,1/19/2011,M,Suburban,Married,94.0,31.0,18.0,0.0,2.0,Personal Auto,Personal L3,Offer4,Agent,676.8,Four-Door Car,Medsize,Retired,19382
RJ80405,Arizona,No,Basic,Bachelor,1/22/2011,M,Suburban,Married,70.0,9.0,80.0,0.0,9.0,Personal Auto,Personal L1,Offer3,Branch,443.53718,Four-Door Car,Medsize,Employed,33191
NT21324,Arizona,No,Basic,College,1/27/2011,M,Urban,Married,70.0,3.0,76.0,0.0,1.0,Personal Auto,Personal L1,Offer2,Branch,206.158416,Four-Door Car,Medsize,Employed,72389
IY98928,Arizona,No,Basic,Master,1/25/2011,F,Rural,Divorced,64.0,28.0,35.0,0.0,3.0,Personal Auto,Personal L1,Offer1,Agent,73.295606,Four-Door Car,Medsize,Employed,91475
XJ81725,California,No,Premium,College,1/28/2011,M,Suburban,Single,111.0,2.0,29.0,0.0,3.0,Personal Auto,Personal L2,Offer1,Agent,799.2,Four-Door Car,Medsize,Unemployed,0
FE62142,Oregon,No,Basic,Bachelor,2/26/2011,F,Rural,Married,107.0,12.0,73.0,0.0,1.0,Corporate Auto,Corporate L3,Offer3,Branch,148.003496,SUV,Medsize,Employed,43682
ZH55575,California,Yes,Basic,Bachelor,2/17/2011,F,Urban,Divorced,66.0,6.0,4.0,0.0,7.0,Corporate Auto,Corporate L3,Offer2,Web,261.930545,Two-Door Car,Medsize,Employed,39854
WI86229,Oregon,No,Extended,Master,1/24/2011,M,Urban,Divorced,99.0,1.0,63.0,0.0,4.0,Personal Auto,Personal L2,Offer1,Agent,251.152889,Two-Door Car,Large,Employed,52162
QR42111,Arizona,No,Extended,High School or Below,2/24/2011,F,Suburban,Married,134.0,32.0,27.0,0.0,1.0,Special Auto,Special L2,Offer1,Branch,643.2,SUV,Small,Unemployed,0
DN71979,Arizona,No,Basic,College,1/15/2011,M,Suburban,Divorced,195.0,10.0,10.0,0.0,1.0,Personal Auto,Personal L3,Offer1,Web,1404.0,Luxury Car,Medsize,Employed,74755
IC22580,California,No,Extended,College,2/13/2011,M,Urban,Married,95.0,6.0,43.0,0.0,2.0,Personal Auto,Personal L1,Offer3,Agent,392.7457,Four-Door Car,Small,Employed,85339
MX93069,Oregon,Yes,Extended,Doctor,1/30/2011,M,Suburban,Married,125.0,10.0,26.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Branch,600.0,SUV,Medsize,Employed,57709
TG37225,California,Yes,Basic,College,1/1/2011,M,Suburban,Married,66.0,7.0,43.0,1.0,5.0,Personal Auto,Personal L3,Offer2,Agent,316.8,Two-Door Car,Medsize,Retired,26802
GY69750,Oregon,No,Basic,Master,1/14/2011,M,Rural,Divorced,73.0,33.0,44.0,0.0,3.0,Personal Auto,Personal L3,Offer1,Branch,152.080908,Four-Door Car,Large,Unemployed,0
KX99703,Oregon,Yes,Extended,College,2/16/2011,F,Suburban,Divorced,86.0,21.0,76.0,0.0,6.0,Personal Auto,Personal L3,Offer1,Branch,412.8,Four-Door Car,Medsize,Retired,18577
AA35519,Arizona,Yes,Basic,College,1/11/2011,F,Suburban,Married,107.0,3.0,65.0,0.0,3.0,Personal Auto,Personal L2,Offer1,Agent,513.6,SUV,Medsize,Unemployed,0
FE99816,Nevada,No,Premium,Bachelor,1/19/2011,F,Suburban,Married,253.0,15.0,40.0,5.0,7.0,Personal Auto,Personal L1,Offer3,Web,1214.4,Luxury Car,Medsize,Unemployed,0
YP92773,Washington,No,Premium,Bachelor,2/25/2011,F,Suburban,Married,119.0,20.0,66.0,1.0,1.0,Corporate Auto,Corporate L2,Offer3,Agent,625.395925,Two-Door Car,Medsize,Employed,21546
CF26052,Arizona,No,Basic,Bachelor,1/16/2011,F,Rural,Married,70.0,6.0,86.0,0.0,2.0,Personal Auto,Personal L3,Offer1,Web,165.410515,Two-Door Car,Medsize,Employed,49182
PR37714,California,No,Extended,Bachelor,2/23/2011,F,Suburban,Divorced,91.0,15.0,80.0,0.0,4.0,Personal Auto,Personal L3,Offer3,Branch,439.781453,Four-Door Car,Medsize,Employed,32238
CE92675,California,No,Basic,College,2/21/2011,F,Suburban,Single,68.0,24.0,2.0,0.0,2.0,Personal Auto,Personal L1,Offer2,Web,326.4,Four-Door Car,Large,Unemployed,0
BK47926,California,No,Extended,High School or Below,2/7/2011,M,Suburban,Single,83.0,28.0,68.0,3.0,3.0,Personal Auto,Personal L3,Offer2,Branch,398.4,Four-Door Car,Small,Employed,98118
BY62906,Arizona,No,Basic,High School or Below,1/24/2011,M,Suburban,Married,101.0,24.0,8.0,0.0,2.0,Personal Auto,Personal L3,Offer2,Web,562.021558,SUV,Medsize,Employed,22971
UY95661,California,No,Basic,Master,2/26/2011,M,Urban,Married,63.0,16.0,41.0,2.0,3.0,Personal Auto,Personal L2,Offer3,Branch,171.746945,Two-Door Car,Medsize,Employed,49161
OS84395,Nevada,No,Extended,Bachelor,2/25/2011,M,Rural,Married,95.0,1.0,77.0,0.0,7.0,Corporate Auto,Corporate L2,Offer2,Web,122.924197,Four-Door Car,Medsize,Employed,90252
JS53793,Arizona,No,Basic,Doctor,1/16/2011,F,Suburban,Married,61.0,11.0,30.0,1.0,1.0,Corporate Auto,Corporate L3,Offer2,Agent,292.8,Four-Door Car,Large,Employed,25036
BV25135,California,No,Extended,Bachelor,2/11/2011,M,Suburban,Single,121.0,21.0,37.0,0.0,1.0,Personal Auto,Personal L3,Offer1,Agent,580.8,SUV,Medsize,Employed,28314
AF17671,Washington,No,Extended,Bachelor,1/27/2011,F,Suburban,Married,97.0,26.0,25.0,0.0,3.0,Personal Auto,Personal L2,Offer4,Web,465.6,Four-Door Car,Medsize,Employed,56337
AY30324,Oregon,No,Extended,Bachelor,1/6/2011,F,Urban,Married,77.0,4.0,40.0,1.0,9.0,Special Auto,Special L2,Offer4,Call Center,208.38907,Two-Door Car,Medsize,Employed,99074
XE17270,California,No,Extended,High School or Below,2/2/2011,M,Suburban,Single,94.0,3.0,43.0,1.0,1.0,Personal Auto,Personal L1,Offer1,Agent,451.2,Two-Door Car,Medsize,Employed,31708
LS46182,Nevada,No,Extended,Bachelor,2/11/2011,M,Suburban,Single,83.0,3.0,85.0,1.0,1.0,Personal Auto,Personal L2,Offer1,Branch,398.4,,Medsize,Unemployed,0
LH33181,Arizona,No,Basic,Bachelor,1/10/2011,M,Suburban,Single,67.0,23.0,39.0,1.0,2.0,Personal Auto,Personal L3,Offer1,Agent,431.32052,Four-Door Car,Large,Unemployed,0
AT84725,Washington,Yes,Basic,College,1/10/2011,M,Suburban,Single,65.0,15.0,26.0,0.0,3.0,Personal Auto,Personal L3,Offer1,Agent,468.0,Two-Door Car,Medsize,Retired,28215
TP33286,Washington,No,Premium,High School or Below,2/5/2011,M,Suburban,Single,119.0,3.0,24.0,0.0,2.0,Corporate Auto,Corporate L2,Offer2,Agent,856.8,Four-Door Car,Medsize,Unemployed,0
YB79192,California,No,Extended,Bachelor,1/15/2011,F,Suburban,Married,128.0,1.0,79.0,0.0,4.0,Personal Auto,,Offer1,Branch,614.4,SUV,Medsize,Employed,21119
SC43870,California,No,Basic,Bachelor,1/29/2011,M,Suburban,Single,66.0,14.0,16.0,0.0,2.0,Corporate Auto,Corporate L3,Offer1,Web,475.2,Four-Door Car,Medsize,Unemployed,0
OO72857,Oregon,No,Basic,Bachelor,1/14/2011,M,Suburban,Married,69.0,33.0,49.0,1.0,2.0,Personal Auto,Personal L1,Offer1,Agent,331.2,Four-Door Car,Medsize,Unemployed,0
MO38559,Arizona,No,Basic,Doctor,2/3/2011,F,Rural,Married,70.0,9.0,19.0,0.0,3.0,Personal Auto,Personal L2,Offer2,Call Center,20.521312,Four-Door Car,Medsize,Unemployed,0
RL65736,Oregon,No,Extended,High School or Below,2/14/2011,F,Suburban,Single,85.0,29.0,37.0,0.0,3.0,Personal Auto,Personal L1,Offer1,Agent,408.0,Four-Door Car,Small,Medical Leave,13662
ID30085,Arizona,Yes,Basic,High School or Below,1/2/2011,F,Suburban,Divorced,112.0,12.0,93.0,0.0,3.0,Personal Auto,Personal L2,Offer1,Web,537.6,Sports Car,Medsize,Unemployed,0
CO68055,Oregon,No,,Bachelor,1/1/2011,M,Suburban,Married,109.0,18.0,2.0,0.0,2.0,Personal Auto,Personal L1,Offer3,Branch,691.401424,SUV,Small,Unemployed,0
NX37589,Washington,No,Basic,Bachelor,2/8/2011,F,Suburban,Married,67.0,10.0,32.0,1.0,1.0,Personal Auto,Personal L3,Offer2,Web,321.6,Four-Door Car,Medsize,Employed,79251
BX88206,Nevada,No,Basic,High School or Below,2/16/2011,F,Rural,Married,116.0,19.0,45.0,0.0,2.0,Corporate Auto,Corporate L3,Offer2,Web,113.237624,SUV,Medsize,Employed,51294
AA30683,California,No,Premium,Bachelor,1/15/2011,M,Suburban,Single,105.0,2.0,38.0,2.0,7.0,Personal Auto,Personal L3,Offer1,Web,847.717402,Four-Door Car,Medsize,Unemployed,0
BD13927,California,No,Basic,High School or Below,1/10/2011,F,Suburban,Single,62.0,34.0,71.0,0.0,1.0,Personal Auto,Personal L2,Offer3,Branch,675.468453,Two-Door Car,Small,Unemployed,0
SJ71233,California,No,Basic,College,2/22/2011,F,Suburban,Single,107.0,27.0,27.0,0.0,9.0,Personal Auto,Personal L2,Offer1,Branch,513.6,SUV,Medsize,Unemployed,0
WK52692,Oregon,No,Extended,College,1/16/2011,F,Suburban,Married,129.0,15.0,41.0,4.0,1.0,Personal Auto,Personal L2,Offer1,Call Center,619.2,SUV,Medsize,Medical Leave,29124
OG67387,California,No,Basic,College,2/12/2011,M,Suburban,Single,65.0,19.0,33.0,0.0,3.0,Personal Auto,Personal L3,Offer2,Call Center,312.0,Four-Door Car,Medsize,Unemployed,0
XR99310,California,No,Extended,College,1/15/2011,M,Suburban,Married,79.0,29.0,84.0,0.0,1.0,Special Auto,Special L3,Offer2,Agent,546.052144,Two-Door Car,Medsize,Employed,97266
GU84478,Oregon,No,Basic,High School or Below,1/17/2011,M,Urban,Married,63.0,28.0,85.0,2.0,8.0,Personal Auto,Personal L1,Offer3,Branch,164.974886,Four-Door Car,Medsize,Employed,48207
ZX29705,California,No,Basic,College,2/15/2011,F,Suburban,Married,69.0,5.0,78.0,0.0,2.0,Corporate Auto,Corporate L3,Offer4,Web,331.2,Four-Door Car,Medsize,Unemployed,0
WN67367,California,No,Extended,Bachelor,1/18/2011,F,Urban,Divorced,88.0,3.0,8.0,0.0,1.0,Personal Auto,Personal L3,Offer1,Web,325.917598,Four-Door Car,,Unemployed,0
QN67807,Arizona,No,Basic,Bachelor,1/17/2011,M,Urban,Married,67.0,13.0,18.0,0.0,7.0,Personal Auto,Personal L3,Offer2,Branch,309.076476,Two-Door Car,Large,Employed,97316
AU77281,Oregon,Yes,Basic,College,1/20/2011,F,Urban,Married,62.0,26.0,81.0,0.0,1.0,Personal Auto,Personal L2,Offer2,Agent,208.598246,Four-Door Car,Medsize,Employed,63860
DN46994,California,No,Basic,Bachelor,2/28/2011,F,Rural,Married,67.0,28.0,91.0,0.0,8.0,Personal Auto,Personal L3,Offer1,Agent,155.761761,Four-Door Car,Medsize,Employed,72633
OW97322,Oregon,No,Premium,Bachelor,2/10/2011,M,Suburban,Married,266.0,25.0,30.0,0.0,2.0,Personal Auto,Personal L2,Offer2,Branch,1276.8,Luxury Car,Small,Employed,28013
ZC97171,Arizona,No,Extended,High School or Below,2/15/2011,F,Rural,Single,96.0,1.0,44.0,0.0,3.0,Personal Auto,Personal L3,Offer3,Call Center,85.155359,,Medsize,Employed,60479
NG69817,California,No,Basic,Bachelor,1/24/2011,F,Suburban,Single,68.0,24.0,42.0,0.0,2.0,Personal Auto,Personal L1,Offer1,Branch,519.757811,Two-Door Car,Small,Unemployed,0
BS95225,California,No,Basic,College,1/19/2011,M,Suburban,Single,72.0,5.0,41.0,1.0,1.0,Personal Auto,Personal L2,Offer2,Branch,345.6,Four-Door Car,Medsize,Medical Leave,14151
AE93522,Washington,No,Basic,Bachelor,1/23/2011,M,Rural,Single,61.0,1.0,5.0,0.0,2.0,Corporate Auto,Corporate L2,Offer2,Branch,61.285525,Two-Door Car,Medsize,Employed,75891
LP15901,Nevada,No,Basic,Bachelor,1/4/2011,M,Suburban,Single,183.0,5.0,81.0,0.0,1.0,Personal Auto,Personal L2,Offer1,Agent,1317.6,Luxury SUV,Small,Unemployed,0
FB95495,California,No,Basic,College,1/12/2011,M,Suburban,Single,73.0,1.0,10.0,0.0,5.0,Personal Auto,Personal L3,Offer1,Branch,764.221884,Four-Door Car,Medsize,Employed,53078
PE59735,Oregon,No,Extended,High School or Below,2/15/2011,F,Rural,Married,86.0,4.0,83.0,0.0,2.0,Personal Auto,Personal L3,Offer1,Branch,109.69048,Four-Door Car,Medsize,Disabled,20031
WR73970,Arizona,No,Basic,Bachelor,2/20/2011,M,Suburban,Married,74.0,16.0,1.0,0.0,1.0,Corporate Auto,Corporate L2,Offer3,Branch,368.669336,Four-Door Car,Medsize,Employed,92070
JD15492,Oregon,No,Basic,High School or Below,1/4/2011,F,Urban,Married,61.0,8.0,68.0,0.0,1.0,Personal Auto,Personal L2,Offer3,Call Center,226.731454,Four-Door Car,Medsize,Employed,44509
OF46381,California,No,Basic,High School or Below,2/6/2011,M,Suburban,Single,73.0,22.0,93.0,0.0,2.0,Personal Auto,Personal L2,Offer1,Agent,525.6,Two-Door Car,Small,Unemployed,0
GP85044,Arizona,No,Basic,Bachelor,2/12/2011,M,Rural,Married,113.0,4.0,74.0,0.0,1.0,Special Auto,Special L1,Offer1,Agent,156.736745,SUV,Medsize,Employed,91967
OO64005,Oregon,No,Basic,Bachelor,2/13/2011,F,Suburban,Married,63.0,20.0,5.0,0.0,1.0,Personal Auto,Personal L3,Offer1,Branch,302.4,Four-Door Car,Small,Unemployed,0
VB42222,Nevada,No,Premium,Bachelor,1/7/2011,F,Urban,Divorced,119.0,,62.0,0.0,2.0,Personal Auto,Personal L1,Offer1,Web,354.764801,Four-Door Car,Medsize,Employed,97379
ZR79373,Arizona,Yes,Premium,Bachelor,1/5/2011,F,Suburban,Married,271.0,20.0,40.0,0.0,1.0,Personal Auto,Personal L3,Offer1,Agent,1300.8,Luxury SUV,Medsize,Retired,14290
KH12081,Arizona,No,Basic,High School or Below,2/26/2011,F,Suburban,Divorced,119.0,3.0,11.0,1.0,8.0,Personal Auto,Personal L3,Offer2,Branch,729.405742,SUV,Large,Unemployed,0
WV64743,,No,Basic,High School or Below,2/10/2011,M,Suburban,Single,194.0,31.0,11.0,0.0,4.0,Personal Auto,Personal L3,Offer3,Call Center,1396.8,Luxury Car,Medsize,Unemployed,0
ZT58755,Oregon,No,Basic,High School or Below,2/11/2011,F,Urban,Married,68.0,4.0,71.0,0.0,2.0,Personal Auto,Personal L3,Offer1,Agent,256.916302,Four-Door Car,Medsize,Unemployed,0
WX52894,Nevada,No,Basic,College,1/10/2011,M,Rural,Married,71.0,32.0,40.0,0.0,2.0,Personal Auto,Personal L2,Offer2,Call Center,128.624785,Four-Door Car,Medsize,Employed,21927
EO51920,Oregon,No,Extended,High School or Below,1/31/2011,F,Rural,Married,99.0,24.0,32.0,0.0,2.0,Corporate Auto,Corporate L3,Offer1,Agent,64.669515,Four-Door Car,Medsize,Employed,69096
AQ34238,Oregon,No,Basic,Bachelor,2/27/2011,M,Suburban,Single,72.0,8.0,14.0,2.0,8.0,Corporate Auto,Corporate L1,Offer1,Call Center,518.4,Four-Door Car,Medsize,Unemployed,0
EI10204,Oregon,Yes,Basic,High School or Below,1/19/2011,F,,Married,100.0,4.0,22.0,1.0,2.0,Personal Auto,Personal L2,Offer2,Call Center,480.0,SUV,Medsize,Medical Leave,28513
GY23881,Oregon,No,Basic,High School or Below,2/28/2011,M,Suburban,Single,61.0,7.0,77.0,0.0,6.0,Personal Auto,Personal L2,Offer2,Call Center,292.8,Four-Door Car,Medsize,Employed,81687
FL59259,Nevada,No,Extended,High School or Below,2/2/2011,F,Suburban,Divorced,87.0,2.0,3.0,2.0,3.0,Personal Auto,Personal L3,Offer1,Web,620.19254,Four-Door Car,Medsize,Medical Leave,13792
RN45606,Nevada,No,Extended,High School or Below,2/13/2011,F,Rural,Married,136.0,14.0,91.0,1.0,2.0,Personal Auto,Personal L2,Offer1,Branch,266.146673,SUV,Medsize,Employed,32184
OJ64812,Washington,No,Extended,Bachelor,2/25/2011,M,Suburban,Single,,19.0,89.0,3.0,2.0,Personal Auto,Personal L3,Offer1,Branch,422.4,Four-Door Car,Medsize,Employed,26432
